ChineseEnglish,ChineseJapaneseEnglish,ChineseGermanEnglish,ChineseTurkishEnglish,ChineseRussianEnglish,ChineseJapaneseGermanEnglish,ChineseGermanJapaneseEnglish
The reporter found that on the wall of his grocery store hung a picture of Hu and Wen shaking hands.,"The reporter discovered a picture hanging on the wall of his grocery store, depicting Gu and On shaking hands.",The journalist noted that there is a picture of Hu and Wen shaking hands hanging on the wall of his grocery store.,Journalists noticed that there was a picture of Hu and Wen shaking hands hung on the wall of the market.,A journalist discovered that an image of the handshake between Hu and Wen was hanging on the wall of his grocery store.,"The reporter discovered a picture on the wall of his grocery store, in which Hu and Wen are shaking hands.",The journalist noticed a photograph of Fu and Wen shaking hands hanging on the wall of his grocery store.
"Chen Xinggui's grocery store is located alongside the road that leads to Beichuan City. For some time now, the convoys of central leaders entering and exiting Beichuan City have been passing in front of the grocery store.","Chin Kōki's general store is located next to the road leading to Kitagawa Castle, and recently, the central leader's convoy entering Kitagawa Castle has been passing in front of the store.","Chen Xinggui's Aunt Emma's store is located on the road leading to the city of Beichuan. Recently, the convoys of the central leaders traveling to Beichuan have been passing by the store.","Chen Xinggui's grocery store is located along the road leading to Beichuan city. These days, the convoys of central leaders heading to Beichuan city are constantly passing in front of the grocery store.","The Chen Xingui store is located next to the road leading to the city of Beichuan. Recently, the motorcades of central leaders traveling to Beichuan have been passing by this store.","Chen Xinggui's goods store is located by the roadside near Kitagawa-Jō, and recently, the vehicle convoys of the central leaders entering Kitagawa-Jō have regularly passed by the store.","Chen Xingui's grocery store is located on the road heading to Beichuan City. Recently, the convoy of central executives heading to Beichuan has been passing right in front of that grocery store."
"On May 14, the day after the earthquake, I heard that Premier Wen Jiabao went to be inspect the town of Beichuan. He walked to the town early in the morning, wanting to see Premier Wen with his own eyes.","On May 14th, the day after the earthquake, Prime Minister Wen Jiabao was scheduled to inspect a city in Beichuan County, so he walked to the city early in the morning, hoping to see Prime Minister Wen in person.","On May 14, the day after the earthquake, I heard that Prime Minister Wen Jiabao was visiting the city of Beichuan. He walked into the city early in the morning to see the Prime Minister in person.","On May 14, the day after the earthquake, it was announced that Premier Wen Jiabao visited Beichuan District for inspections. He walked to the district early in the morning because he wanted to see Premier Wen with his own eyes.","On May 14, the day after the earthquake, I heard that Prime Minister Wen Jiabao arrived in the city of Beichuan for an inspection. He arrived in the city on foot early in the morning to see Prime Minister Wen with his own eyes.","On May 14, the day after the earthquake, I heard that Prime Minister Wen Jiabao would be visiting the city of Beichuan. I set off on foot early in the morning to see the Prime Minister in person.","On May 14, the day after the earthquake, I heard that Prime Minister Wen Jiabao was visiting Beichuan City. He walked into the city early in the morning, and I went to meet him directly."
"He said, ""When Premier Wen visited Beichuan County to inspect the situation, an injured person came by, and he immediately made way for them, letting the patient go first. I was very moved by what I saw.""","He said, ""When Prime Minister On was inspecting a city in Kitagawa Prefecture, as injured people passed by, he immediately stepped aside to let the patients go first. I was very moved to see that.""","He said: ""When Prime Minister Wen visited the city of Beichuan, an injured person came by, and he immediately cleared the way so that the patient could go first. I was very touched when I saw that.""","He said: ""While Prime Minister Wen was going to the city center of Beichuan to conduct inspections, an injured person was passing by, and he immediately gave way and allowed the patient to go ahead. I was very impressed when I saw this.""","He said, ""When Prime Minister Wen visited the city of Beichuan, a wounded person was passing by, and he immediately cleared the way for the patient to go first. I was very touched by this.""","He said: ""When Prime Minister On was visiting the city of Kitagawa, an injured person came by, and he immediately cleared the way so that the patient could go first. I was very touched when I saw that.""","He said: ""When Prime Minister On was visiting the city of Kitagawa and passed by the injured, he immediately gave way to let the patients go ahead. I was very moved by that."""
"After he finished speaking, his eyes turned red and his voice was a bit choked up.","When he finished speaking, his eyes were red, and his voice trembled slightly.","After he said that, his dark circles turned red and his voice was somewhat halting.","After saying this, her eyes filled with tears and her voice became a bit quivery.","Saying this, his eyes almost filled with tears, and his voice became a bit strained.","As he finished speaking, his eyes turned red and his voice broke a little.","After he said that, the dark circles under his eyes turned red, and his voice became a little choked."
"He continued, ""After this major earthquake, Premier Wen came to the disaster area that very day, and then General Secretary Hu also arrived at the disaster zone to personally command the earthquake relief efforts. They are leaders worthy of our respect, and hanging their portraits is to express our gratitude and affection for them.""","He continued, ""After this major earthquake, Prime Minister Wen visited the disaster area on the same day, and afterwards, General Secretary Hu also came to the disaster area to directly lead the earthquake relief efforts. They are the leaders we should respect, and raising their portraits is a way to express our gratitude and affection for them.""","He added: ""After this great earthquake, Prime Minister Wen came to the disaster area on the same day, followed by General Secretary Hu, who personally led the earthquake relief efforts. They are respected leaders, and the portraits are meant to express our gratitude and affection for them.""","He continued, ""After this great earthquake, Prime Minister Wen came to the disaster area immediately the next day, followed by General Secretary Hu, who also came to the disaster area to directly oversee the earthquake response and rescue efforts. They are leaders deserving of respect; it is to express our gratitude and love for them that we hang their portraits.""","He continued: ""After this powerful earthquake, Prime Minister Wen visited the disaster area on the very same day, and then General Secretary Hu also came to the disaster zone to personally oversee the rescue efforts. They are our respected leaders, and hanging their portraits is a way to express our gratitude and love for them.""","He further said: ""After the great earthquake, Prime Minister Wen visited the disaster areas on the same day, and afterwards, General Secretary Hu also traveled to the affected regions to directly oversee the relief efforts. They are leaders whom we should respect, and displaying their portraits is an expression of our gratitude and affection for them.""","He went on to say, ""After this devastating earthquake, Premier Wen Jiabao visited the disaster-stricken area on the same day, and afterward, General Secretary Hu Jintao also visited the area to directly guide the rescue and support activities. They are our esteemed leaders, and displaying their photos is a way to express our gratitude and affection."""
"Canadian Prime Minister Trudeau stated in April that he would not attend the opening ceremony of the Beijing Olympics, and at that time, he seemed to have company.","Canadian Prime Minister Trudeau stated in April that he would not attend the opening ceremony of the Beijing Olympics, and it seems that someone was with him at that time.","The Canadian Prime Minister Trudeau stated in April that he would not attend the opening ceremony of the Olympic Games in Beijing; at that time, he did not seem to be alone in this decision.","Canadian Prime Minister Trudeau stated that he would not attend the opening ceremony of the Beijing Olympics in April, and he appeared to be accompanied by someone at that time.","Canadian Prime Minister Sharp stated in April that he would not participate in the opening ceremony of the Olympic Games in Beijing, and at that moment, it seemed he had company.","Canadian Prime Minister Trudeau stated that he would not be attending the opening ceremony of the Olympic Games in Beijing in April. At that time, it seemed as if someone would be accompanying him.","Canadian Prime Minister Trudeau announced in April that he would not attend the opening ceremony of the Beijing Olympics. At that time, it seemed he was not alone."
"But with the Olympics just a month away, our prime minister seems to be getting more and more lonely.","However, with only one month left until the Olympics, our prime minister seems to be looking increasingly孤独.","But since the Olympic Games are taking place in a month, our Prime Minister looks increasingly lonely.","But our prime minister, seeing that the Olympics will start in a month, appears to be becoming increasingly isolated.","But as the Olympics approach, which will take place in a month, our prime minister looks increasingly lonely.","However, since the Olympic Games begin in a month, our Prime Minister seems to be getting lonelier.","However, with just one month left until the Olympics, it seems that our prime minister is becoming increasingly isolated."
It might be time to reconsider his decision.,It might be time to reconsider his decision.,It might be time to reconsider your decision.,Maybe it's time to reconsider your decision.,It may be time to reconsider his decision.,It might be time to rethink your decision.,It may be time to reconsider the decision.
"In the past three months, the extent of changes in China's environment is indeed a topic worth discussing.",The extent to which China's environment has changed over the past three months is indeed a matter open to discussion.,"In the last three months, the environment in China has indeed changed significantly, which is a topic worth discussing.",The amount of change around China in the last three months is truly a topic worth discussing.,"In the last three months, it is indeed worth discussing how much the environment in China has changed.","In the last three months, the environment in China has certainly changed significantly, which is quite a debatable topic.",The extent of the changes in China's environment over the past three months is indeed a matter worth discussing.
Those who expect China to significantly change its behavior as it prepares to welcome the world may feel disappointed.,Those who hope that China will significantly change its behavior as it prepares to welcome the world may be disappointed.,Those who hope that China will change significantly while preparing to welcome the world may be disappointed.,Those who expect China to significantly change its behavior as it prepares to welcome the world may be disappointed.,Those who hope that China will significantly change its behavior when it starts to embrace the world may be disappointed.,People who expect China to significantly change its behavior to accommodate the world may be disappointed.,"While China is preparing to welcome the world, those who expect its actions to change significantly may be disappointed."
"However, leaders of other Western countries seem to have come to the conclusion that engaging with China is better than isolating China.","However, it seems that leaders of other Western countries have reached the conclusion that it is better to engage with China rather than isolate it.",But the leaders of other western countries seem to be concluding that contact with China is better than isolating China.,"However, it seems that the leaders of other Western countries have reached the following conclusion: Engaging with China is better than isolating it.",But it seems that the leaders of other Western countries have come to the following conclusion: engagement with China is better than its isolation.,"However, the leaders of other Western countries seem to be coming to the conclusion that it is better to engage with China than to isolate it.","However, it seems that leaders from other Western countries have concluded that it is better to engage with China rather than isolate it."
U.S. President Bush announced last week that he will attend the Olympic opening ceremony.,President Bush of the United States announced last week that he would attend the opening ceremony of the Olympics.,"Last week, American President Bush announced that he would participate in the opening ceremony of the Olympic Games.",President Bush of the United States announced last week that he would attend the Olympic opening ceremony.,US President George Bush announced last week that he will participate in the opening ceremony of the Olympic Games.,The American President Bush announced last week that he wants to attend the opening ceremony of the Olympic Games.,President Bush of the United States announced last week that he will attend the opening ceremony of the Olympics.
"French President Sarkozy seemed to be preparing to boycott this spring, but it is reported that he now plans to attend.","French President Sarkozy seemed to be preparing to resist in the spring of this year, but now it is said that he has plans to participate.","French President Sarkozy seemed ready to resist this spring, but it is now reported that he also plans to participate.","French President Sarkozy was planning to resist in the spring of this year, but he is now said to be considering participation.","French President Sarkozy appeared to be ready for a boycott this spring, but reportedly he now also plans to participate.","French President Sarkozy did not seem willing to participate this spring, but now it is said that he plans to attend.","French President Sarkozy seemed to express his intention to oppose participation this spring, but according to reports, he is now scheduled to participate."
"Although not all European leaders have confirmed their attendance, the hope for a collective message is low.","Not all European leaders have confirmed their attendance, but there is little hope for sending a collective message.","Although not all European leaders have confirmed that they will attend, the hope for a collective message is slim.","Although all European leaders have not confirmed their attendance, the hope for sending a collective message has diminished significantly.","Although not all European leaders have confirmed their attendance, the hope for a collective message is small.","Although it is not certain that all European leaders will participate, there does not seem to be much hope for a collective message.","It is not confirmed that all European leaders will participate, but expectations for a collective message are not very high."
"If Xiaba attempts to convey the information on his own, it won't make much sense.","If Shaba tries to convey the message by himself, it doesn't make much sense.","When Shaba tries to convey the information himself, it has little significance.","If Şaba is trying to convey the message herself, it doesn't make much sense.","If Shab is trying to convey the information himself, it doesn't make much sense.","When Shaba tries to convey information by themselves, it doesn't make much sense.","When Shaba tries to convey information on its own, it doesn’t have much meaning."
"He had previously insisted that his planned absence was unrelated to human rights, a claim that is highly questionable, especially since he articulated his concerns on the very day he announced his decision.","He previously claimed that his absence was unrelated to human rights, but that assertion is questionable, especially considering the concerns he expressed on the day he made the announcement.","He had previously insisted that his planned absence had nothing to do with human rights, which is very suspicious, especially because he expressed his concerns on the day he announced his decision.","He insisted that his previously planned absence had no relation to human rights, but this statement is quite dubious, especially since he expressed his concerns on the very day he announced his decision.","He previously insisted that his absence was not related to human rights, and this statement raises doubts, especially since he expressed his concerns on the day the decision was announced.","He previously claimed that his planned absence had nothing to do with human rights, but this assertion is highly questionable. Especially because he expressed his concerns on the day he announced the decision.","He previously claimed that his absence was unrelated to human rights, but considering that he expressed concerns particularly on the day he announced that decision, it is highly questionable."
"However, whether he attends or not does not have much significance for Beijing's grand performance; if there is any relationship, it can only serve to strain the relationship between Canada and a rising economy in the world, thereby harming Canada's interests.","However, his presence or absence is not very relevant to the major event in Beijing. If there is any relation, it would only serve to strain the relationship between Canada and emerging economies, ultimately harming Canada’s interests.","But whether he participates or not doesn't matter much to the grand theater in Beijing; if there is a connection, it could strain the relationship between Canada and an emerging economy nation, thereby harming Canada's interests.","However, whether or not he participates doesn't mean much in terms of Beijing's grand scheme; if there is a relationship, it will only lead to increased tensions between Canada and a new economic power in the world, thus harming Canada's interests.","But his presence or absence does not matter much for the big game in Beijing; if it has any relevance at all, it is only in the sense that it could worsen relations between Canada and the new emerging economic region in the world, which would lead to harm to Canada's interests.","Whether he will be present or not has little impact on the major event in Beijing. However, if there were a connection, it would likely strain the relationship between Canada and the emerging countries and jeopardize Canada's interests.","Whether he is attending or not has little impact on the big show in Beijing. If there is any connection, it would be the negative effect on the relationship between Canada and the emerging economic powers of the world, which could harm Canada's interests."
"Moreover, as China strives to reconcile the relationship between its free market economic transformation and authoritarian governance, and as other world leaders attempt to exert their influence during critical moments, Shaba may face the risk of being marginalized.","Furthermore, while China is making efforts to reconcile the relationship between the transition to a free market economy and authoritarian governance, Shaba may face the risk of being marginalized as other world leaders attempt to exert influence during crucial moments.","And while China strives to reconcile its free market economy with authoritarian rule, Shaba could risk being marginalized at a critical moment as other world leaders try to assert their influence.","Additionally, as China seeks to balance its transformation into a free market economy with authoritarian governance, it appears that Shahba may face the risk of marginalization while other world leaders attempt to leverage their influence during critical moments.","Moreover, as China diligently tries to balance the transformation of its free market economy and authoritarian governance, while other world leaders seek to influence key moments, Shabas may face the risk of being marginalized.","While China is trying to regulate the relationship between the transition to a market economy and authoritarian governance, Shaba could potentially be at risk of marginalization if other world leaders attempt to exert influence during a critical phase.","While China is striving to reconcile the relationship between a free market economy and authoritarian rule, Sharif may face the risk of being marginalized at crucial moments as other world leaders attempt to exert their influence."
"If Xiaba has other reasons for missing the Olympic opening ceremony, he should clearly state them instead of leaving others to speculate.","If Shaba has other reasons for being absent from the Olympic opening ceremony, he should state them clearly and not leave others to speculate.","If Xiaba has other reasons for staying away from the opening ceremony of the Olympic Games, he should clearly communicate them instead of letting others speculate.","If Sheba has other reasons for not attending the Olympic opening ceremony, she should express them clearly; she should not allow others to make assumptions.","If Shaba has other reasons for not attending the opening of the Olympics, he should clearly state them instead of letting others guess.","If there is another reason for his absence from the opening ceremony of the Olympic Games, he should make it clear and not let others speculate about it.","If Sha Ba has another reason for not attending the Olympic opening ceremony, it should be stated clearly, and others should not be left to speculate."
"Otherwise, he should join Bush, Sarkozy, and other world leaders to attend the opening ceremony.","Otherwise, he should join the line with Bush, Sarkozy, and other world leaders and attend the opening ceremony.","Otherwise, he should join Bush, Sarkozy, and other world leaders and participate in the opening ceremony.","Otherwise, he should join Bush, Sarkozy, and other world leaders and attend the opening ceremony.","Otherwise, he would have had to join Bush, Sarkozy, and other world leaders and attend the opening ceremony.","Otherwise, he should attend the opening ceremony, just like Bush, Sarkozy, and other world leaders.","Otherwise, he should join the ranks of Bush, Sarkozy, and other world leaders and participate in the opening ceremony."
"The hope of isolating China has already faded, but instead, he may end up isolating Canada.","The hope of isolated China has already vanished, and he may instead isolate Canada.","The hope of isolating China has disappeared; instead, he could isolate Canada.","The hope of isolating China has now faded; instead, the likelihood of isolating Canada is higher.","Hopes for isolating China have already faded, and on the contrary, it may be able to isolate Canada.","China's isolated hope has already been extinguished, but now there is a possibility that Canada might be isolated.","The hope of isolating China has already faded; instead, there is a possibility of isolating Canada."
"If he wants to convey the message, he should do it in Beijing.","If he needs to convey information, it is best for him to do so in Beijing.","If he wants to convey a message, he should do so best in Beijing.","If he wants to send a message, it's best to transmit it in Beijing.","If he wants to convey information, it would be better for him to do it in Beijing.","If he wants to convey information, it is best to do so in Beijing.","If he wants to convey information, it's best to do it in Beijing."
"On July 8, 2008, at the 32nd World Heritage Conference held in Quebec, Canada, the scenic area of Sanqingshan in Jiangxi, China, was added to the World Heritage List.","On July 8, 2008, it was announced at the 32nd World Heritage Conference held in Quebec, Canada, that the Mount Sanqing Scenic Area in Jiangxi Province, China, has been added to the ""World Heritage List.""","On July 8, 2008, it was announced at the 32nd World Heritage Conference held in Quebec, Canada, that the Sanqingshan Scenic Area in Jiangxi Province, China, was added to the World Heritage List.","On July 8, 2008, at the 32nd World Heritage Congress held in Quebec, Canada, it was announced that the Sanqing Mountain Nature Reserve in Jiangxi province, China, was included in the World Heritage List.","On July 8, 2008, at the 32nd World Heritage Conference held in Quebec, Canada, it was announced that the picturesque area of the Sanqingshan Mountains in Jiangxi Province, China, had been included in the World Heritage List.","On July 8, 2008, it was announced at the 32nd World Heritage Conference held in Quebec, Canada, that the Sanqing Shan Landscape Protection Area in Jiangxi Province, China, would be added to the ""World Heritage List.""","On July 8, 2008, it was announced at the 32nd session of the World Heritage Committee held in Québec, Canada, that the Sanqingshan Scenic Area in Jiangxi Province, China, was registered on the World Heritage List."
"As of now, both of the nomination projects submitted by China this year have been approved.","As a result, all two application projects nominated by China this year have been approved.","Up to this point, all two application projects nominated by China this year have been approved.","Thus, both of the application projects proposed by China this year have been approved.","Thus, China's two proposed projects this year have been fully approved.","Thus, all two proposals put forward by China this year have been approved.","By this point, both applications nominated from China this year have been approved."
